conversation number,persona,chat,summary
12,,"hello . how are you ?
i am great and you ?
doing good . what are some of your favorite books ?
i do not read books much just sheet music . i want to be a singer
i enjoy reading but also garden in my spare time .
when i am not singing i am playing tennis .
i spend a lot of time in my garden .
do you see a lot of animals around your garden ? i love seeing animals
yes . lots of rabbits .
do you work ?
i give away lots of my vegetables to veterans . i am a veteran .
my family works for ge . my father included though recently retired .
very cool . thanks for the chat . have a great day .
you too
","The user, who is an aspiring singer, enjoys playing tennis and gardening in their spare time. They also have a soft spot for animals, particularly rabbits, and often share their garden produce with veterans. The user's family members, including their father who recently retired, work for General Electric (GE)."
13,,"hey how are you today ?
great ! just go off work at the smoothie shop . you ?
i have been eating tacos and getting ready to move to school .
are you going to college ? i go to a local one .
yes , i am going to university of michigan . what year are you ?
first yr ! do you have any hobbies ?
i love doing anything outdoors . especially in summer . you ?
i love watching college basketball and rocking out to classic rock .
fun . have you decided on your major for school ?
not yet . have you decided ?
pre med . i would love to be a doctor
that is so nice ! i wish you luck .
","The user is a first-year college student who attends a local college, works at a smoothie shop, and enjoys watching college basketball and listening to classic rock. They are undecided about their major but are considering pre-med to become a doctor. They also enjoy outdoor activities, especially in the summer."
14,,"hey , what are you up to ?
hello , i am listening to lady gaga , do you like her ?
i prefer rock music , like led zeppelin .
madonna is my first favorite . do you go to a lot of concerts ?
i would if i could , but i have a farm to maintain .
i work at the mall , so i am close to the venue .
i prefer hiking outdoors and photography rather than crowded malls .
pays well , lol . i make great money as the manager .
work is tiring . i would love to travel the world instead .
i would love to travel as well .
staying here is fine too though . my two dogs keep me company .
i love dogs ! what kind do you have ?
they are both greyhounds . their names are tom and jerry .
that is cute ! how old are they ?
only two months ! i actually have to take them for a walk right now
be careful , my area is a little iffy at night .
","The user, who works as a retail manager and has a preference for rock music, particularly Led Zeppelin, mentioned that they go to at least 10 concerts a year. They also revealed Madonna as their all-time favorite artist, while currently favoring Lady Gaga. The user expressed a desire to travel the world instead of working, and they have two greyhound dogs named Tom and Jerry, who are only two months old. They also mentioned that they need to take their dogs for a walk and warned about the safety of their area at night."
15,,"hello , how are you doing ?
hi there , i am doing great thanks . where are you from ?
i am from socal , yourself ?
seattle . i have a houseboat here . i like socal weather though
that is awesome . the ocean is incredible ! i totally believe that mermaids are out in the sea
lol definitely ! i just dyed my hair mermaid purple from free samples at my salon
that is epic ! me and my four sisters would totally do the same thing ! !
oh yeah , i am a stylist here and i have lots of clients doing fantasy colors
oh nice ! my mom went to beauty school too
oh awesome ! well you guys are all set ! are you married ?
she still braids my hair and we chit chat because she is literally my best friend
awww , that is precious . i feel the same way about my mom
that is such a great thing ! ! not married , single and trying to mingle haha . you ?
lol well i finally tied the knot last year . . thank god ! long wait
i am craving some iced tea right now haha . even though its a bit chilly out
lol nice . . well it was great talking to you !
","The user, a hair stylist from SoCal with a houseboat in Seattle and purple hair, recently got married last year. They have a close relationship with their mother, who is also a hair stylist, and they both share a passion for fantasy hair colors. The user is currently single but enjoys chatting with their mother regularly. They mentioned a desire for iced tea."
16,,"i am frank . nice to meet you . what is your name ?
my name is gary . great to meet you too .
i work as a general manager at a grocery store . what about you ?
i am an insurance salesman
do you have any hobbies ? i like to ready and go cycling
i like snowboarding and horseback riding .
do you have any dreams ? i hope to compete professionally or qualify for an event one day
that is interesting . i would love to start my own insurance company .
that is so cool . how do you like to spend your free time ?
i like watching movies with my wife .
i like to travel up to canada to enjoy the view and relax on weekends .
canada is great for winter sports too .
have you even been to canada for snowboarding ?
no , there is a place outside milwaukee i go .
you should try going to canada one day . it is really beautiful there .
i will make sure and check it out .
","Gary, an insurance salesman, enjoys snowboarding and horseback riding in rural Wisconsin. He hopes to compete professionally or qualify for an event one day. In his free time, he enjoys watching movies with his wife and traveling to Canada for relaxation. Gary has not yet been to Canada for snowboarding but plans to check it out. Frank, the conversation partner, is a general manager at a grocery store and enjoys reading and cycling. He expressed interest in starting his own insurance company."
17,,"hey how are you ? i wanted to go to florida to surf but no way !
i am so great . for sure , no fl now . unless you are really good at swimming ?
i am great at catching a wave with my high school sweetheart
cute ! my college sweetie and i are more into swimming . ya will have any other couple activities ?
would not mind ! i am so busy at the hospital all the time .
do you have time to eat enough , being so busy ? i love to eat . clot .
not like i want being a nurse on the military base .
that is impressive . do you get a lot of exercise there ?
oh boy do i lol i bake alot when i have spare time , would love to share
i try to work out everyday . do you have a lot of friends on base ?
a few been a brat all my life lol
i love people . pretty much a social queen . any other hobbies ?
","The user, a social and active college student, expresses their disappointment about not being able to surf in Florida. They are a strong swimmer and have a partner who shares their love for swimming. They are busy working as a nurse on a military base, but still make time for exercise and baking. They consider themselves a social butterfly and have a few friends on the base."
18,,"hi . how are you doing today ?
hi ! i am good ! just playing with my dogs !
how many dogs do you have ?
i have 2 . it is annoying taking them outside from the third floor
that sounds like a lot of work
it is , but my roommates help out sometimes .
that is really nice of them
they are nice . i cook for them in appreciation of their help .
what do you like to cook
pasta is my favorite and it is cheap
that is very true . do you ever donate ?
no , i do not make enough money .
i understand that . my church has a pantry .
that is good . do you volunteer there ?
","The user is a person who lives on the third floor of an apartment with two dogs and two roommates. They enjoy cooking, particularly pasta, and appreciate their roommates' help in taking care of the dogs. They do not have enough income to donate, but they are aware of a local church pantry."
19,,"hello , tell me about you .
hi , i am a mechanic who lives alone . . . how about you ?
i just got back from the london college of fashion in the uk .
wow that sounds really exciting ! i have never traveled to europe
you should go some time .
i hope to eventually . what do you like to do for fun ?
i thought i would make a pretty good fashion designer since i love to shop .
i do not mind shopping too much , if its the sporting goods store anyway
maybe i could introduce you to my sister in law . she is all wrong for my brother .
does she like to fish ? that is a deal breaker for me . i love fishing
she might . she thinks she is better than me because she has an actual job .
who says fashion designer is not a real job ?
i have not ventured into employment yet in fashion . too much to do .
you will get there soon enough .
","The user is a mechanic who lives alone and enjoys fishing. They shared their interest in cars and mentioned they have not traveled to Europe yet. The user also expressed a desire to become a fashion designer but is currently too busy. They mentioned having a family issue with their sister-in-law, who they believe looks down on them, possibly due to their current employment status."
20,,"hey whats going on ? how are you ?
not much , just seen both my children off to school , you ?
about to smash some pretzels . cant get enough of them .
haha . i love it . my 2 cats are big pretzel lovers
so you have two cats ? what are their names ?
bobby and billie . i got them at the shelter i like to donate time to
oh cool . do you work ? any hobbies ?
my parents were both teachers , so i thought i might , but no
i live with my mom and watch a lot star trek . ever seen it ?
my 2 children love that show , but i would rather be out hunting
i am a bow hunter when i am not working on the railroad .
we sound like we would get along
yeah i bet we would . i like hunting but i do not kill animals . i am weird like that
oh , that is weird . how do you hunt ?
","The user is a bow hunter who lives with their mother and enjoys watching Star Trek. They have two children and two cats named Bobby and Billie, which they adopted from a local animal shelter where they volunteer. Despite their parents being teachers, the user does not work and instead spends time hunting and donating time at the shelter. They find the idea of killing animals during hunting unusual."
21,,"hello there how are you ?
i am doing well . how are you ?
i am great thanks , do like boating ?
i like it when i can get away from my job at the grocery store
its my favorite activity outside of being a doctor . do you like beaches ?
i give deep sea fishing tours at the beach sometimes
i volunteer at a farm , do you like animals ?
i am vegan so i love animals . same here with the farm volunteering
i too am a vegan , how long for you ?
just 2 years . my boss at my bookkeeping job got me started
that is nice my boss at the grocery store is nice too
sounds like we have a lot in common . how do you feel about urban farms ?
i work at an urban farm , i love them . do you ?
urban farms are the best . there is one on top of my apartment building .
how lovely , mine is 2 miles up the road .
is it all organic ? i found that sometimes chemicals are necessary .
","The user is a vegan who works at a grocery store and also volunteers at an urban farm. They also help with bookkeeping and give deep sea fishing tours at the beach. They enjoy boating, beaches, and urban farms, and have been vegan for 2 years, having been influenced by their job. They mentioned that they find urban farms to be the best, with one located near their apartment, and they also have one nearby. They expressed concern about the use of chemicals in urban farming."
22,,"hello how is life treating you today ?
okay . . rough day waiting tables . . headed to class soon . and you ?
i bumped my head on a door frame because i am 6 foot tall .
wow got some height on you . do you work
do you usually make bank waiting tables ?
yes ppl tip very well ! but i really want to be a doctor some day
i do not work , i guess i am an investor . i have waited tables in the past .
okay , its not a super fun gig but pays decent
i find people to help now they come to me like stray cats .
oh that could be a problem lol . what do you do for fun
i play around with mensa members like myself .
oh okay . . i am in a book club
when i was growing up my family moved 40 times .
okay that is ridiculous lol . why so many moves ?
i think my mother was a bit touched in the head .
sounds a bit crazy , and hard on a child
","The user is a college student and a full-time working mom who currently earns a decent income by waiting tables. She aspires to become a doctor one day. She also mentions that she is an investor and finds people to help her, comparing them to stray cats. In her free time, she socializes with other intellectuals in Mensa. She shares that her family moved 40 times when she was growing up, which she finds to be a challenging experience due to her mother's unstable mental state."
23,,"hi , how are you doing today ? do you have any hobbies ?
i am good and yourself friend ?
i am okay . i was prepping dinner and stopped to complete a couple of hits .
very nice . where do you work ?
i am a personal chef for a family of 4 . what about you ?
i am in college to become a teacher
oh , that is cool . the career highlight of my schooling was winning a spelling bee .
was that in 3rd game ? p
it was in the 2nd grade . i missed the cut in the 3rd grade . haha .
dang they do move on to 5 letter words then . rough .
i know , right ? that is why culinary school was where i ended up .
make sure you spell the food right ! d
","The user is a college student who is preparing to graduate and become a teacher in September. They have a brother in a metal band who travels the world. The user's family migrated to America when they were five. They currently work as a personal chef for a family of four. They mentioned winning a spelling bee in the 2nd grade and missing the cut in the 3rd grade, and joked about the difficulty of spelling food items correctly."
24,,"hi ! how was your weekend ?
hi i am katie . i am a transgender
hi katie , i am lucy . how was your weekend ?
it went so cool . how about for you ?
great ! went for pizza , my fav , on friday . whats your favorite food ?
i am from united states . how about you ? i like blue color . whatsis your favorite ?
i am from the us too . my favorite is pink . do you go to school ?
i love pizza , but my favorite cuisine is thai
yes ! i love sushi ! i always eat it while studying .
nope i am not . where are you working now ?
i am not employed , but working toward my masters in social sciences . you ?
i work here with amazon . i am too old to work now .
","Katie, a transgender individual born 20 years ago in the USA, shared that they transitioned to female at 17, have a preference for blue as their favorite color, and enjoy Thai cuisine, particularly sushi. They are not currently in school but are pursuing a master's degree in social sciences. Katie mentioned that they had a great weekend and went cool, but did not specify activities. They also mentioned that they do not work but are working towards their degree."
25,,"hello , how are you doing tonight ? its midnight here
its midnight here too . i am good , you ?
i am worried about the situation in florida . the hurricane , its terrible , you know
do you have family in there ?
my father . i work for the navy , 17 years at sea . its still terrifying
the water is an evil mistress
and interrupted my favorite tv show , the voice . whats your favorite show ?
i am not really sure . whenso your birthday ?
september of 1972 . in 1960 was hurricane donna . fortunately , i love to swim
i was born in june
where are you from , originally ?
i am not sure really . i am unemployed
ah , not many jobs left after the hurricane ?
yeah i live with my parents now
","The user, who is currently unemployed and lives with their parents, expressed concern about the ongoing hurricane situation in Florida, as their father resides there and works for the navy. They have a cat and were born in June. They are unsure of their original hometown and do not have a favorite TV show, but they enjoy swimming. They mentioned that they were born in 1972, which coincides with the year Hurricane Donna occurred."
26,,"hello ! how are you ? i am about to have pizza , i am excited ! !
hey i am doing great . pizza sounds good i really like tuna fish salad
i like seafood but my favorite is meat and pizza . what do you do ?
i work at a comic book store
i bet that is fun ! i sell cars . it is new to me
it is i am a giant nerd lol . do you sell nice sports cars
very rarely , i am happy when we do . i like to paint sports cars
that sounds fun ! do you like junk food ? i love gummy worms even the sour ones
yes , pizza is my vice ! sour candy is good , also .
do you like meat lovers pizza
how did you know that is my favorite ! what about you ?
i am weird i like pineapple and ham on mine . pepperoni sometimes
i like that , also . all pizza .
that is cool . do you like to read or listen to music
i mostly enjoy painting , but will often listen to music . you ?
i like rock opera my favorite song is two steps from hell
","The user, who works at a comic book store and has a preference for meat lovers pizza with pineapple and ham, enjoys listening to rock opera music, particularly Two Steps from Hell. They also have a sweet tooth for gummy worms and read sci-fi space adventures. The user has sandy brown hair and green eyes, and they eat tuna fish salad daily. They mentioned they occasionally sell sports cars and like to paint them."
27,,"how is you night going so far ?
hi , i live in houston tx ; its flooded right now , but makes me think of the ocean .
hope things dry up for quickly , i am just sitting with my dog
music ? my fav singer of forever is ke ha , like wow .
do not follow music much , but hope things are getting better for her
my friend james rules the world in secret and feeds me pudding .
anyone who feeds people pudding should rule the world
gas , gas and more gas not gasoline happens when i eat pudding .
well if the pudding tastes good and james can handle you . . . .
i want to try drugs , but i do not know where to buy them , do you ?
no , i have no clue , pretty strict laws where i live
i really really like love living in texas . tell me about yourself .
","The user, who resides in Houston, Texas, is currently enjoying a quiet night with their dog as the city is flooded. They are a fan of the singer Ke Ha and have a friend named James who they believe secretly rules the world. The user mentions that they get gassy after eating pudding, which is often provided by their friend James. They express a desire to try drugs but are unsure of where to buy them, and they conclude by stating their love for living in Texas."
28,,"hi , how are you today ?
i am great just about to head out fishing one of my favorite pastimes
sounds fun ! i am going shoe shopping later .
on the island that i live on there are many places to shop
i would shop all day ! what do you like to do in your spare time ?
i love making boats in my spare time on weekends , what about you ?
i love to go dancing . i love eating out . do you have any favorite foods ?
my favorite food is chicken ! its actually my dogs favorite food too ! his name is bob
i really love mexican food . burritos are my favorite !
omg authentic mexican is the best !
it is ! what state do you live in ?
i love in hawaii , its beautiful here !
i am jealous ! i am surrounded by farmland .
you should take a vacation out here
","The user, who lives in Hawaii, enjoys fishing and making boats during their free time. They also have a dog named Bob, who shares their love for chicken. The user mentions shopping and going dancing as other hobbies, with a preference for Mexican food, particularly burritos. They express interest in visiting the user's location."
29,,"hello , i have to be quick because i work in a hospital
oh okay . i will hurry . i work for a non profit organization that helps children in need
although i do not like to work super long hours
what do you do for fun
i want to get a truck one day
i want to get a horse . i love to go horseback riding
i really enjoy toyota cars though
i would rather spend my money on going to concerts where i dance hard !
its was very warm outside today
it was . it was so warm though that it melted my cheese i was eating
its a beautiful night i love the night air
me too . much better for my favorite cheese .
my dog will not stop barking
i am sorry . is he allergic to shellfish too ?
he ate all his food and now will not stop barking
i am sorry . what is the matter do you think ?
","The user, who works at a non-profit organization helping children, enjoys horseback riding and going to concerts where they dance hard. They also have a fondness for Toyota cars and cheese, but are allergic to shellfish. Their dog is causing a disturbance."
30,,"hello do u like animals i have a kitten named leela very cute kitten too
i love animals ! i have a dog named allie , and i adore her .
animals are amazing my kitten sits in my lap while i youtube cause i am a big youtuber
oh wow , that sounds interesting . are you really famous ?
not yet but in time i will be
what are your videos about ? ever make a spooky halloween video ?
no all my videos are of how to apply makeup
oh , well that still might be useful . i really like putting on makeup for costumes .
oh cool do u go to comic cons
yes ! i rode my bike to the last one that was in town .
i love driving my pink truck to them
that sounds cute ! so what else do you do for fun ?
but sometimes i fly to them since my father is a pilot for a major airline
cool ! i love staring at clouds . flying must be even better !
flying is really fun , but clouds are amazing to look at
i agree . i like having a picnic and looking at the cloud shapes .
","The user is a YouTube makeup artist who enjoys animals, particularly her dog Allie. They share a common interest in gazing at clouds and have a fondness for Halloween. The user rides a red bike to work and comic cons, and occasionally flies due to their father being a pilot. They also enjoy picnics."
31,,"are you vera ? i love library shopping . we are not alone .
crazy , my wife is vera . were you wondering what had become of her ?
yes ! i know how to be by myself . you ? i do not need new friends . you ?
you are never alone , and the law firm i work for knows it . we fight for you .
hmmm . i prefer things the old fashioned way . you . tell me more about vera . please !
well , we have bought the house she grew up in , and she stays home with the kids .
do not trust anyone ! is your vera nice ? ours is dead .
i trust only you . my vera is nice . why is yours dead ?
you are not the kids father . vera is not nice . i am at the library now . you ?
oh no ! but how can you be sure ? ! i am under a bridge on 59th street .
hide the knives ! tell them to leave me alone ! please . you are not on 59th !
oh wait , they changed the sign ! we are working as hard as we can on your case .
shhh . . . they can hear us . i do not need new friends !
well i despise tofu and have never found any friends in it try tofu , for security .
please do not trust anyone .
only you , master . only you . the knives are now secured .
","The user, a male employee of a large law firm, is seeking information about a woman named Vera. He mentions that his wife, also named Vera, stays home with their children and they own their home. He expresses distrust towards others and prefers to be alone, but also mentions that he dislikes tofu. The conversation takes a turn when the user reveals he is currently in a dangerous situation, possibly being pursued, and requests the other party to keep quiet and secure his knives. He also reiterates his distrust towards others and insists that only the other party can be trusted."
32,,"hi , how are you today ?
i am good but my shoulders hurt . what about you ?
not bad , but since i have six toes on my left foot , it always hurts .
is it because the extra toe does not fit inside your shoes ?
you got it , that is why i can not stand skiing . can not wear the boots .
if i had a real dragon , i would totally train it . would you ?
definitely . i love dragons . wish i had one .
i like to do ink artwork of dragons , but i keep getting it on my shirts .
hope it does not stain . i love reading . do you , if so what is your favorite book ?
i like old 386 video games more , but i used to read michener .
my favorite book i have read twice is twilight . i like old games too .
i have not read twilight yet but really want to . used to read black stallion .
i have not gotten to read lately because i broke my glasses .
hope you get them fixed soon . are they expensive ?
yes , i have progressive lenses that is why they are still broke .
do they work very good ?
","The user is a creative individual with an interest in dragons, retro video games, and ink artwork. They have a unique physical trait of six toes on their left foot, which causes discomfort while skiing. They also have ink stains on all their shirts and are currently unable to read due to a broken pair of expensive progressive lenses. They have read books by James Michener in the past, but their favorite book is Twilight, which they have read twice. They also enjoy old games, having previously read Black Stallion."
33,,"i am hungry
so am i but unfortunately i am stuck working at churchill museum ha .
wheres that ? is there a good restaurant there ?
no its a museum in orlando , fl its new . there is a grand opening soon .
they will have food at that !
my day is not going too great .
then it is time to eat meat
if only i had the money and friends . sadly i do not have either .
you can eat meat with me , red as my hair
haha ! that is cool ! just one problem . i am in a wheel chair .
so , we will have people bring us huge steaks
that sounds awesome ! thank you !
do you like computers ?
i do . i am very tech savvy how about yourself ?
me too . i like repairing busted ones
its so interesting . the way computers work . i hope to own a repair shop .
","The user, who is a tech-savvy individual working at a museum in Orlando, Florida, is having a difficult day due to a lack of friends and financial constraints. They are currently in a wheelchair. They expressed their hunger and were offered a meal at the museum's grand opening. The user also mentioned their interest in computers and repairing busted ones, hoping to one day own a repair shop. They found a common interest with their conversation partner, who also enjoys computers and repairing them."
34,,"hi . where are you from ?
i am from alabama . how about you
i am from british colombia , in vancouver
oh okay . that is interesting . i live by myself and work on cars a lot
that is great . car needs love too . i work as a graphic designer .
that is also really cool . i was interested in that during college
what changed your mind about doing it ?
i did not get to finish college .
oh , i see . well , i also do comedy gigs from time to time .
that is great . i fish in my free time and enjoy a good burger
that is a great hobby . i actually made a joke about fishing at a gig yesterday .
lol really ? what was the joke ?
what did one hillbilly say to another ?
and what would that be ? lol
i got a new fly rod and reel for my wife . . . best trade i ever made .
lol that is very funny . i like that one
","The user, a car enthusiast from Alabama, lives alone and enjoys fishing. They work on cars for a living and have an interest in comedy, having performed gigs. They also mentioned they did not finish college. They have a fondness for cheeseburgers and shared a fishing-themed joke during a comedy gig."
35,,"hi how are you today
i am well , how about you ?
i am good do you work
i do , i work from home . i cant see well
oh well that is not a good combination
. yeah , i can see like 200 in front of me
200 of what i do not get it
200 feet , i am sorry . my vision is terrible and i get bad headaches
that is quite alright good sir
i had to call 911 once it was so bad . do you have any pets ?
i do not but my dad is a cop
that is cool , i used to have six cats .
where do you live at then ?
alaska , you ? are you married ?
virginia and i am not nope
oh that is far away . i married my friend from high school
","The user, who has poor vision and lives in Alaska, shared that they work from home and have had severe headaches requiring a call to 911. They also mentioned owning six cats in the past and are married to their high school friend, while the other person in the conversation resides in Virginia and is not married."
36,,"hi how are you today
i am good . just listening to some tool .
oh wow do you play music
no , i am more of a computer geek .
i see , i play guitar
oh , i enjoy flying airplanes .
that does sound fun take me
what do you do for a living ? i am in the army .
i do welding mostly yeah
i like to build computers on the side too .
great i adore video games
oh that sounds like a lot of fun .
yeah do you eat meat
of course . i hate to admit this , but i am a college drop out .
that is okay keep working at it
did you go to college ?
","The user, who is a member of the military, enjoys building computers in his free time and listening to the band Tool. He also enjoys flying airplanes and playing guitar. He dropped out of college but is open to continuing his education. He is a fan of video games and eats meat."
